SpeciesCode,AreaRange_km2,nHUCs,Prop_CONUS,AreaHab_km2,PropHab_CONUS,ScientificName,CommonName,LogAreaRange,LogAreaHabitat
aKSSAx,2416.6487226974,25,0.0002982215554278308,1041.606,0.00012858241821472898,Plethodon kiamichi,Kiamichi Slimy Salamander,3.383213527163427,3.0177034729132357
aLASAx,22472.667371320607,242,0.0027731932055921975,9823.8105,0.0012127131661811145,Plethodon kisatchie,Louisiana Slimy Salamander,4.351654623638264,3.9922799763950074
aLBTRx,26360.081170983052,248,0.0032529114944103406,399.3732,4.930114825198261e-05,Smilisca fodiens,Lowland Burrowing Treefrog,4.420946743253374,2.601378918114484
aLESIx,1161629.86862498,11650,0.14334854006671682,145518.7752,0.01796375597957532,Siren intermedia,Lesser Siren,6.065067770377575,5.162919030708259
aLGFRx,354864.2887477881,3198,0.04379129625344704,87156.3726,0.010759132677549809,Pseudacris ocularis,Little Grass Frog,5.550062296952202,4.940299146854324
aLISAx,1090.0842574618998,12,0.00013451960136135404,359.955,4.4435116875750306e-05,Hydromantes brunus,Limestone Salamander,3.0374600677906467,2.556248210563841
aLLFRx,230841.12614373455,2417,0.028486473457531383,880.5500999999999,0.00010870066149505804,Lithobates yavapaiensis,Lowland Leopard Frog,5.363313184319768,2.9447540707343607
aLMSAx,24133.25987018449,283,0.0029781152007881807,7052.616,0.0008706194280945857,Plethodon larselli,Larch Mountain Salamander,4.382615989459996,3.848350238073855
aLSSAx,2577.26929175,30,0.0003180426057470945,123.0201,1.5186377523764054e-05,Batrachoseps minor,Lesser Slender Salamander,3.4111597991527063,2.089976075715127
aLTASx,837481.4073203576,9613,0.10334766720013645,361409.6538,0.04461468852114141,Eurycea longicauda,Long-tailed Salamander,5.9229751741712064,5.5579997490441535
aLTOPx,691015.1631343191,7998,0.08527330217199158,246544.99469999998,0.030435070091055103,Ambystoma macrodactylum,Long-toed Salamander,5.839487577321104,5.391896190009579
aMASAx,1748492.0876728753,18651,0.2157690628106862,278960.8176,0.03443668384606649,Ambystoma opacum,Marbled Salamander,6.24266367136772,5.445543207233737
aMBSAx,122712.05702364599,1372,0.015143028513673914,1916.0397,0.00023652803269319096,Ambystoma mabeei,Mabee's Salamander,5.088887236252546,3.2824045033397646
aMCFRx,329003.83426241943,3591,0.040600040160551104,101393.7147,0.012516680038229729,Pseudacris brachyphona,Mountain Chorus Frog,5.517200959315651,5.006011034329563
aMIFRx,442023.5046629823,4232,0.05454699967694126,66810.5388,0.008247514550735094,Lithobates septentrionalis,Mink Frog,5.645445363634211,4.824844974177339
aMLSAx,168908.5878178364,1751,0.020843816195152024,6648.921899999999,0.0008207848806774063,Stereochilus marginatus,Many-lined Salamander,5.227651730962857,3.8227512316431875
aMLYSx,43781.669919169006,470,0.005402786751708363,790.542,9.758949359000263e-05,Hydromantes platycephalus,Mount Lyell Salamander,4.641292322395211,2.897924948124892
aMOSAx,764085.407701672,7661,0.09429038512066494,118313.6364,0.014605381954491604,Ambystoma talpoideum,Mole Salamander,5.883141905722859,5.073034802717309
aMRSAx,136330.35639736842,1483,0.016823566683483,2451.0555,0.0003025737595295262,Eurycea multiplicata,Many-ribbed Salamander,5.134592570053122,3.3893531452263144
aMUDPx,1577452.9707198346,16617,0.1946623330581696,41482.3266,0.005120840190437821,Necturus maculosus,Mudpuppy,6.19795642030202,4.617863106473159
aMUSAx,817456.2783660733,8632,0.10087650742904491,81116.5311,0.010013536525354376,Pseudotriton montanus,Mud Salamander,5.912464533721152,4.909109370042261
aMWLFx,14477.3074835127,51,0.001786542295365589,861.2019,0.00010631219758058153,Leptodactylus fragilis,Mexican White-lipped Frog,4.160687798478214,2.9351049793012467
aMXSPx,1153006.5852321181,11471,0.1422844015503652,877028.7195,0.10826596006270821,Spea multiplicata,Mexican Spadefoot,6.061831787712569,5.94301381516325
aMXTRx,20915.604042314695,95,0.0025810470142510395,6201.208799999999,0.000765516350096349,Smilisca baudinii,Mexican Treefrog,4.320470411515549,3.792476354659506
aNCFRx,3281481.7049874184,34560,0.40494448737134653,189460.3086,0.023388176177457518,Acris crepitans,Northern Cricket Frog,6.51606998730842,5.277518240364758
aNDSAx,967344.5404950673,10992,0.11937315952939243,72508.5531,0.008950913396091309,Desmognathus fuscus,Northern Dusky Salamander,5.985581184926132,4.86038923891637
aNDSIx,233765.82177734294,1895,0.028847389495024058,8429.4189,0.0010405806670727134,Pseudobranchus striatus,Northern Dwarf Siren,5.368781014530891,3.925797636638738
aNGCSx,18244.9465785436,195,0.00225148003358875,2756.2059,0.00034024345070948466,Plethodon montanus,Northern Gray-cheeked Salamander,4.2611425960822675,3.440311658044613
aNJFRx,48863.67477867958,489,0.006029921088470144,4470.6501,0.0005518852626136178,Pseudacris kalmi,New Jersey Chorus Frog,4.688986124857849,3.6503706806965486
aNLFRx,3884602.8257659366,40633,0.4793714063772611,79375.0797,0.009798560774239823,Lithobates pipiens,Northern Leopard Frog,6.589346621748026,4.899684174372509
aNOSAx,217839.84705141291,2526,0.026882077404001604,144561.474,0.017845580677920126,Ambystoma gracile,Northwestern Salamander,5.338137323407419,5.160052567795838
aNPTRx,201515.54480069887,2357,0.024867610525651094,116818.72559999999,0.014420840730958603,Pseudacris regilla,Northern Pacific Treefrog,5.304308553011987,5.067512464119848
aNRLFx,164011.9182386674,1903,0.020239552776724384,32378.463,0.003997001813177083,Rana aurora,Northern Red-legged Frog,5.214875408030745,4.510256229023231
aNRSAx,108106.2382489516,1459,0.01334062754725436,39971.5578,0.004934341355304993,Plethodon electromorphus,Northern Ravine Salamander,5.033850755553004,4.6017510742235865
aNSSAx,806640.6414509296,9490,0.09954182604424827,323084.77379999997,0.039883623465650844,Plethodon glutinosus,Northern Slimy Salamander,5.906680099537733,5.509316491256712
aNTLSx,588275.7027167025,6469,0.07259495078323074,94615.8759,0.011679980841821857,Eurycea bislineata,Northern Two-lined Salamander,5.769580911290771,4.975964014174322
aNZSAx,134730.70579976574,1580,0.01662616509802392,54374.1327,0.006712286095600996,Plethodon dorsalis,Northern Zigzag Salamander,5.129466584881766,4.735392342760705
aOATOx,514711.17632262135,4894,0.06351687200433921,98483.3964,0.012157411980260996,Anaxyrus quercicus,Oak Toad,5.711563598525174,4.993363017709036
aOCFRx,381445.2612306776,3863,0.047071466384993405,62803.4715,0.007752856874624198,Pseudacris ornata,Ornate Chorus Frog,5.581432223939343,4.797983650291734
aOCSAx,39115.83838638119,474,0.004827009426686504,3713.8563,0.0004584618598164815,Desmognathus ocoee,Ocoee Salamander,4.592352643099927,3.569825095600743
